date,fund,ticker,weight
2021-01-04,Combined Max-Sharpe,ABBV,0.1
2021-03-05,Combined Max-Sharpe,ABBV,0.044275635639957775
2021-04-06,Combined Max-Sharpe,ABBV,0.03390545316752869
2021-05-05,Combined Max-Sharpe,ABBV,0.05042440617586304
2021-06-04,Combined Max-Sharpe,ABBV,0.012225935353142625
2021-07-06,Combined Max-Sharpe,ABBV,0.07693431131380435
2021-08-04,Combined Max-Sharpe,ABBV,0.0576673194029448
2021-09-02,Combined Max-Sharpe,ABBV,0.03675759054991645
2021-10-04,Combined Max-Sharpe,ABBV,0.0783193243566539
2021-11-02,Combined Max-Sharpe,ABBV,0.07119296931699369
2021-12-02,Combined Max-Sharpe,ABBV,0.09001098681221847
2022-01-03,Combined Max-Sharpe,ABBV,0.09999999999999962
2022-02-02,Combined Max-Sharpe,ABBV,0.1
2022-03-04,Combined Max-Sharpe,ABBV,0.1
2022-04-04,Combined Max-Sharpe,ABBV,0.1
2022-05-04,Combined Max-Sharpe,ABBV,0.09999999999999996
2022-06-03,Combined Max-Sharpe,ABBV,0.09999999999999996
2022-07-06,Combined Max-Sharpe,ABBV,0.1
2022-08-04,Combined Max-Sharpe,ABBV,0.09999999999999995
2022-09-02,Combined Max-Sharpe,ABBV,0.1
2022-10-04,Combined Max-Sharpe,ABBV,0.09999999999999994
2022-11-02,Combined Max-Sharpe,ABBV,0.09999999999999992
2022-12-02,Combined Max-Sharpe,ABBV,0.1
2023-01-04,Combined Max-Sharpe,ABBV,0.1
2023-02-03,Combined Max-Sharpe,ABBV,0.1
2023-03-07,Combined Max-Sharpe,ABBV,0.1
2023-04-05,Combined Max-Sharpe,ABBV,0.09999999999999988
2023-05-05,Combined Max-Sharpe,ABBV,0.09999999999999996
2023-06-06,Combined Max-Sharpe,ABBV,0.1
2023-07-07,Combined Max-Sharpe,ABBV,0.1
2023-08-07,Combined Max-Sharpe,ABBV,0.09999999999999988
2023-09-06,Combined Max-Sharpe,ABBV,0.09999999999999996
2023-10-05,Combined Max-Sharpe,ABBV,0.1
2023-11-03,Combined Max-Sharpe,ABBV,0.1
2023-12-05,Combined Max-Sharpe,ABBV,0.1
2021-02-03,Combined Max-Sharpe,ABT,0.1
2021-03-05,Combined Max-Sharpe,ABT,0.03402218402084147
2021-09-02,Combined Max-Sharpe,ABT,0.057040684599766744
2021-10-04,Combined Max-Sharpe,ABT,0.03673184697070886
2021-11-02,Combined Max-Sharpe,ABT,0.05589839181412622
2021-12-02,Combined Max-Sharpe,ABT,0.03353733626288191
2022-01-03,Combined Max-Sharpe,ABT,0.08959121262489442
2022-02-02,Combined Max-Sharpe,ABT,0.047471073645643035
2021-01-04,Combined Max-Sharpe,ADA-USD,0.020015688245357245
