fund,k,sharpe_base,sharpe_fused,sharpe_delta_gross,sharpe_base_net20bps,sharpe_fused_net20bps,sharpe_delta_net20bps,ann_return_base,ann_return_fused,max_dd_base,max_dd_fused,growth_of_one_base,growth_of_one_fused,turnover_base,turnover_fused
Combined Max-Sharpe,0.1,0.5192861836562223,0.5226854545335852,0.0033992708773629143,0.4814510199735978,0.48332087110640626,0.0018698511328084644,0.11780066025691734,0.11851328076130706,-0.3460553898729889,-0.3479109634883404,1.316598645423939,1.319496456642701,0.3409924134875272,0.35570447705997205
Combined Min-Variance,0.1,0.5427365000056469,0.5320607720909797,-0.010675727914667199,0.4965147389044165,0.4826558003942361,-0.013858938510180385,0.0675951526324674,0.06619879377023123,-0.16090075877604004,-0.16248770545162128,1.1957822999740535,1.1908612245111758,0.21876179828760722,0.23522778356149823
Combined Risk Parity,0.1,0.8415963470744693,0.843069512862652,0.0014731657881826843,0.8314201053510353,0.8239504285386885,-0.007469676812346782,0.13518157157348842,0.13520209326534752,-0.2047529671245648,-0.20380176472443756,1.4409794821712516,1.4412420658099934,0.0407419076829513,0.10268979790956083
Combined Min-CVaR,0.1,0.6179981878196765,0.6230148244806335,0.005016636660956975,0.5985492688181726,0.5976102002365902,-0.0009390685815824362,0.08262276798152697,0.08329271182531953,-0.17234723768206428,-0.17763002866341282,1.2463033874169158,1.2488000790891258,0.08326035246712274,0.11722283460150378
