lag,acf_return,acf_squared,acf_absolute,asset_class
1,-0.18343555522996002,0.4894599014452153,0.4225292601591073,equity
5,0.09733159613363584,0.37159782506571426,0.37641525914651974,equity
10,-0.06803492076876917,0.22306402278812346,0.3044476069252528,equity
21,0.06060907674717997,0.04246894229731547,0.1334370884661174,equity
1,-0.11107462692070257,0.16655243094155894,0.19394009368489387,crypto
5,-0.030008545004973037,0.1750922414580264,0.18624455047957353,crypto
10,-0.08756080031982184,0.10049076353761306,0.1213297748807193,crypto
21,-0.03720148853604961,0.040625939700110865,0.11959073646643519,crypto
